"species","sea","status","group","Family","mean_MaxN","max_MaxN","n_presence","depth_range","min_depth","sbt_range","sbt_min","sbt_max","corals","artificial","gravel","macroalgae","rocks","seagrass","silt","sand","soft_corals","population","B_prime_std"
"Chaetodon austriacus","red","1","Lessepsians - Red Sea","Chaetodontidae",0.121951219512195,2,8,42.3,10.5,4,24,28,1,0,0,0,0,0,0,0.53,0,"Chaetodon austriacus_red",0.295
"Chaetodon fasciatus","red","0","Natives - Red Sea","Chaetodontidae",0.105691056910569,2,8,35,10.5,5,21,26,1,0,0,0,0,0.15,0,0.62,0,"Chaetodon fasciatus_red",0.486
"Chaetodon lineolatus","red","0","Natives - Red Sea","Chaetodontidae",0.016260162601626,1,2,3.7,29.1,0,24,24,1,0,0,0,0,0,0,0.5,0,"Chaetodon lineolatus_red",0.263
"Chaetodon melannotus","red","0","Natives - Red Sea","Chaetodontidae",0.040650406504065,2,3,22.3,10.5,4,22,26,1,0,0,0,0,0,0,0.6,0,"Chaetodon melannotus_red",0.361
"Chaetodon paucifasciatus","red","0","Natives - Red Sea","Chaetodontidae",0.292682926829268,2,19,101.9,8.1,7,21,28,0.94,0.06,0,0,0.11,0,0,0.58,0,"Chaetodon paucifasciatus_red",0.344
"Cheilinus abudjubbe","red","0","Natives - Red Sea","Labridae",0.0813008130081301,2,9,42.5,8.1,4,22,26,1,0.2,0,0,0.2,0,0,0.4,0,"Cheilinus abudjubbe_red",0.178
"Cheilinus lunulatus","red","0","Natives - Red Sea","Labridae",0.040650406504065,2,4,22.5,10.3,4,22,26,1,0,0,0,0,0,0,0.4,0,"Cheilinus lunulatus_red",0.178
"Chlorurus genazonatus","red","0","Natives - Red Sea","Scaridae",0.032520325203252,1,4,25.8,24.8,0,24,24,1,0,0,0,0,0,0,0.5,0,"Chlorurus genazonatus_red",0.263
"Chlorurus sordidus","red","0","Natives - Red Sea","Scaridae",0.138211382113821,3,9,44.7,8.1,2,22,24,1,0.12,0,0,0.12,0,0,0.59,0,"Chlorurus sordidus_red",0.349
"Choerodon robustus","red","0","Natives - Red Sea","Labridae",0.252032520325203,3,19,110,34,8,20,28,0.39,0.1,0,0.1,0.48,0,0.1,0.81,0,"Choerodon robustus_red",0.779
"Chromis chromis","med","0","Natives - Med. Sea","Pomacentridae",0.758064516129032,19,10,34.4,5.6,12,18,30,0,0,0,0.59,1,0,0,0.27,0,"Chromis chromis_med",0.176
"Chromis dimidiata","red","0","Natives - Red Sea","Pomacentridae",0.0487804878048781,4,2,2.7,50.6,2,22,24,1,0,0,0,0,0,0,0,0,"Chromis dimidiata_red",0
"Chromis pelloura","red","0","Natives - Red Sea","Pomacentridae",0.24390243902439,23,5,83.1,41.9,4,21,25,1,0,0,0,0.03,0,0,1,0,"Chromis pelloura_red",0.373
"Cirrhilabrus blatteus","red","0","Natives - Red Sea","Labridae",0.284552845528455,12,6,46,48.4,4,21,25,1,0,0,0,0,0,0,0.6,0,"Cirrhilabrus blatteus_red",0.361
"Cirrhilabrus rubriventralis","red","0","Natives - Red Sea","Labridae",0.0894308943089431,9,2,31.6,16.8,0,22,22,1,0.82,0.82,0,0,0.82,0,0,0,"Cirrhilabrus rubriventralis_red",0.49
"Coris aygula","red","0","Natives - Red Sea","Labridae",0.0650406504065041,2,7,42.8,10,5,21,26,0.75,0,0.25,0,0,0.12,0,0.5,0,"Coris aygula_red",0.834
"Coris caudimacula","red","0","Natives - Red Sea","Labridae",0.0569105691056911,2,6,29.9,10.5,5,21,26,1,0.14,0.14,0,0,0.29,0.14,0.57,0,"Coris caudimacula_red",0.481
"Coris julis","med","0","Natives - Med. Sea","Labridae",0.838709677419355,14,26,34.4,5.6,13,17,30,0,0,0.13,0.65,0.87,0,0,0.45,0,"Coris julis_med",0.311
"Ctenochaetus striatus","red","0","Natives - Red Sea","Acanthuridae",0.170731707317073,8,8,44.7,8.1,2,22,24,1,0.1,0,0,0.1,0,0,0.48,0,"Ctenochaetus striatus_red",0.241
"Cyclichthys spilostylus","red","1","Lessepsians - Red Sea","Diodontidae",0.040650406504065,1,5,118.5,16.5,6,22,28,0,0,0,0.2,0,0.4,0,1,0,"Cyclichthys spilostylus_red",0.391
"Dascyllus marginatus","red","0","Natives - Red Sea","Pomacentridae",0.235772357723577,9,8,24.1,10.3,4,22,26,1,0.1,0.1,0,0,0.17,0,0.69,0,"Dascyllus marginatus_red",0.49
"Dascyllus trimaculatus","red","0","Natives - Red Sea","Pomacentridae",0.634146341463415,43,7,52,8.1,3,21,24,0.09,0.29,0,0,0.15,0.03,0,0.91,0,"Dascyllus trimaculatus_red",0.556
"Dasyatis pastinaca","med","0","Natives - Med. Sea","Dasyatidae",0.0241935483870968,2,2,1.8,13.8,0,24,24,0,0,0.67,0.67,0.33,0,0,1,0,"Dasyatis pastinaca_med",0.595
"Dentex dentex","med","0","Natives - Med. Sea","Sparidae",0.0241935483870968,1,3,2.4,10.2,9,18,27,0,0,0.33,1,1,0,0,0,0,"Dentex dentex_med",0.195
"Dentex macrophthalmus","med","0","Natives - Med. Sea","Sparidae",0.798387096774194,34,15,69.9,71.1,3,15,18,0,0,0,0,0.02,0,1,0,0,"Dentex macrophthalmus_med",0.692
"Dentex maroccanus","med","0","Natives - Med. Sea","Sparidae",0.241935483870968,5,15,50.6,90.4,2,15,17,0,0,0,0,0.23,0,1,0,0,"Dentex maroccanus_med",0.955
"Diplodus sargus","med","0","Natives - Med. Sea","Sparidae",0.104838709677419,5,6,30.6,9.4,12,18,30,0,0,0,0.85,1,0,0,0.54,0,"Diplodus sargus_med",0.179
