"species","sea","status","group","Family","mean_MaxN","max_MaxN","n_presence","depth_range","min_depth","sbt_range","sbt_min","sbt_max","corals","artificial","gravel","macroalgae","rocks","seagrass","silt","sand","soft_corals","population","B_prime_std"
"Pseudobalistes fuscus","red","0","Natives - Red Sea","Balistidae",0.040650406504065,1,5,49.6,10.5,4,22,26,0.8,0,0,0,0.2,0,0.2,0.6,0,"Pseudobalistes fuscus_red",0.491
"Pseudocheilinus evanidus","red","0","Natives - Red Sea","Labridae",0.105691056910569,3,7,20.5,32.8,6,22,28,1,0,0,0,0,0,0.23,0.08,0,"Pseudocheilinus evanidus_red",0.117
"Pseudochromis fridmani","red","0","Natives - Red Sea","Pseudochromidae",0.024390243902439,2,2,6,26.8,2,22,24,1,0,0,0,0,0,0,0,0,"Pseudochromis fridmani_red",0
"Pseudochromis pesi","red","0","Natives - Red Sea","Pseudochromidae",0.024390243902439,1,3,40.6,36,4,21,25,1,0,0,0,0,0,0,1,0,"Pseudochromis pesi_red",0.373
"Pseudochromis springeri","red","0","Natives - Red Sea","Pseudochromidae",0.040650406504065,1,5,30.4,10.5,4,22,26,1,0,0,0,0,0,0,0.6,0,"Pseudochromis springeri_red",0.361
"Pteragogus trispilus","med","1","Lessepsians - Med. Sea","Labridae",0.032258064516129,1,4,5.2,10.4,13,17,30,0,0,0.25,0.75,0.75,0,0,0.5,0,"Pteragogus trispilus_med",0.427
"Pterois miles","med","1","Lessepsians - Med. Sea","Scorpaenidae",0.0403225806451613,2,4,23.8,15.6,9,17,26,0,0,0.4,0.8,0.6,0,0,0.8,0,"Pterois miles_med",0.503
"Pterois miles","red","1","Lessepsians - Red Sea","Scorpaenidae",0.170731707317073,4,16,72,15.2,5,21,26,0.1,0.14,0,0.19,0.05,0.33,0,0.86,0,"Pterois miles_red",0.538
"Pygoplites diacanthus","red","0","Natives - Red Sea","Pomacanthidae",0.032520325203252,2,2,9.1,32.8,0,24,24,1,0,0,0,0,0,0,0.5,0,"Pygoplites diacanthus_red",0.263
"Raja clavata","med","0","Natives - Med. Sea","Rajidae",0.032258064516129,2,3,21.4,103,2,16,18,0,0,0,0,0.5,0,1,0,0,"Raja clavata_med",0.332
"Rhinecanthus assasi","red","0","Natives - Red Sea","Balistidae",0.024390243902439,2,2,0.199999999999999,10.3,2,24,26,1,0,0,0,0,0,0,1,0,"Rhinecanthus assasi_red",0.373
"Rhinobatos punctifer","red","0","Natives - Red Sea","Rhinobatidae",0.0569105691056911,1,7,91.3,45.7,3,21,24,0,0,0,0.29,0.14,0,0.14,0.86,0,"Rhinobatos punctifer_red",0.555
"Rhinobatos rhinobatos","med","0","Natives - Med. Sea","Rhinobatidae",0.032258064516129,2,3,15.3,45.8,5,17,22,0,0,0,0,0,0,0.25,0.75,0,"Rhinobatos rhinobatos_med",0.661
"Rhinoptera marginata","med","0","Natives - Med. Sea","Myliobatidae",0.104838709677419,3,7,24.1,8.7,10,18,28,0,0,0.15,0.38,0.62,0,0,0.62,0,"Rhinoptera marginata_med",0.629
"Sargocentron caudimaculatum","red","0","Natives - Red Sea","Holocentridae",0.016260162601626,1,2,3.7,29.1,0,24,24,1,0,0,0,0,0,0,0.5,0,"Sargocentron caudimaculatum_red",0.263
"Sargocentron rubrum","med","1","Lessepsians - Med. Sea","Holocentridae",0.145161290322581,13,4,12.3,10.1,4,24,28,0,0,0,0.22,1,0,0,0.78,0,"Sargocentron rubrum_med",0.078
"Saurida lessepsianus","med","1","Lessepsians - Med. Sea","Synodontidae",0.0403225806451613,1,5,66.2,66.2,3,15,18,0,0,0,0,0,0,0.8,0.2,0,"Saurida lessepsianus_med",0.661
"Scarus ferrugineus","red","0","Natives - Red Sea","Scaridae",0.292682926829268,5,20,86.3,8.1,5,21,26,0.92,0.06,0.08,0,0.06,0.08,0,0.56,0,"Scarus ferrugineus_red",0.468
"Scarus fuscopurpureus","red","0","Natives - Red Sea","Scaridae",0.292682926829268,15,7,42.8,10,5,21,26,0.69,0,0.31,0,0,0,0,0.25,0,"Scarus fuscopurpureus_red",0.386
"Scarus ghobban","med","1","Lessepsians - Med. Sea","Scaridae",0.0483870967741935,3,4,31.4,8.6,9,18,27,0,0,0,0.83,1,0,0,0.17,0,"Scarus ghobban_med",0.137
"Scarus niger","red","0","Natives - Red Sea","Scaridae",0.0650406504065041,2,6,42.1,10.7,2,22,24,1,0,0,0,0,0,0,0.75,0,"Scarus niger_red",0.479
"Scolopsis ghanam","red","0","Natives - Red Sea","Nemipteridae",0.146341463414634,6,7,17.6,16.4,7,22,29,0,0.11,0,0,0,0.56,0,1,0,"Scolopsis ghanam_red",0.391
"Scomberomorus commerson","med","1","Lessepsians - Med. Sea","Scombridae",0.0564516129032258,5,3,1,30.9,10,18,28,0,0,0,0,0.29,0,0,1,0,"Scomberomorus commerson_med",0.674
"Seriola dumerili","med","0","Lessepsians - Med. Sea","Carangidae",0.701612903225806,46,21,103.5,10,10,17,27,0,0,0.06,0.08,0.11,0,0.17,0.74,0,"Seriola dumerili_med",0.841
"Seriola dumerili","red","0","Lessepsians - Red Sea","Carangidae",0.235772357723577,15,8,101.1,38.9,4,20,24,0.17,0,0,0,0.55,0,0.21,0.79,0,"Seriola dumerili_red",0.745
"Serranus cabrilla","med","0","Natives - Med. Sea","Serranidae",0.0725806451612903,2,8,24.8,10.4,9,17,26,0,0,0.11,0.67,0.89,0,0,0.33,0,"Serranus cabrilla_med",0.251
"Serranus scriba","med","0","Natives - Med. Sea","Serranidae",0.0967741935483871,3,8,16.8,5.6,13,17,30,0,0,0,0.67,1,0,0,0.25,0,"Serranus scriba_med",0.171
"Siganus argenteus","red","0","Natives - Red Sea","Siganidae",0.455284552845528,19,11,46.5,8.1,5,21,26,0.96,0.39,0.09,0,0.34,0.18,0.07,0.25,0,"Siganus argenteus_red",0.31
"Siganus luridus","med","1","Lessepsians - Med. Sea","Siganidae",1.87903225806452,89,11,13.8,8.6,11,17,28,0,0,0,0.86,1,0,0,0.17,0,"Siganus luridus_med",0.139
"Siganus rivulatus","med","1","Lessepsians - Med. Sea","Siganidae",1.36290322580645,50,9,7,8.6,4,24,28,0,0,0.01,0.78,0.99,0,0,0.49,0,"Siganus rivulatus_med",0.196
"Siganus rivulatus","red","1","Lessepsians - Red Sea","Siganidae",1.19512195121951,141,3,14.8,16.4,7,22,29,0,0,0,0,0,1,0,1,0,"Siganus rivulatus_red",0.391
"Siganus stellatus","red","0","Natives - Red Sea","Siganidae",0.0487804878048781,2,3,16,16.8,2,22,24,1,0.33,0.33,0,0,0.33,0,0.33,0,"Siganus stellatus_red",0.424
"Sparisoma cretense","med","0","Natives - Med. Sea","Scaridae",0.032258064516129,2,3,25.1,10.1,10,18,28,0,0,0,0.5,1,0,0,0.5,0,"Sparisoma cretense_med",0.19
"Sphyraena sphyraena","med","0","Natives - Med. Sea","Sphyraenidae",0.0725806451612903,8,2,4,137,0,16,16,0,0,0,0,0.89,0,1,0,0,"Sphyraena sphyraena_med",0.117
"Spicara smaris","med","0","Natives - Med. Sea","Sparidae",0.959677419354839,67,4,91.5,11.5,7,17,24,0,0,0.42,0.42,0.57,0,0.01,0.98,0,"Spicara smaris_med",0.257
"Sufflamen albicaudatum","red","0","Natives - Red Sea","Balistidae",0.227642276422764,2,21,52,8.1,7,21,28,0.93,0.11,0.04,0,0.14,0.11,0.04,0.64,0,"Sufflamen albicaudatum_red",0.479
"Symphodus tinca","med","0","Natives - Med. Sea","Labridae",0.0806451612903226,5,4,24.8,10.4,3,24,27,0,0,0,0.5,1,0,0,0.5,0,"Symphodus tinca_med",0.19
"Synodus variegatus","red","0","Natives - Red Sea","Synodontidae",0.032520325203252,1,4,39.9,16.8,5,21,26,1,0.25,0.25,0,0,0.25,0,0.75,0,"Synodus variegatus_red",0.373
"Taeniurops grabatus","med","0","Natives - Med. Sea","Dasyatidae",0.0725806451612903,3,6,14.8,8.6,13,17,30,0,0,0.22,0.67,0.78,0,0,0.56,0,"Taeniurops grabatus_med",0.404
"Tetrosomus gibbosus","red","1","Lessepsians - Red Sea","Ostraciidae",1.13008130081301,9,75,128.9,16.4,8,20,28,0.32,0.03,0,0.11,0.17,0.07,0.1,0.78,0.01,"Tetrosomus gibbosus_red",0.975
"Thalassoma pavo","med","0","Natives - Med. Sea","Labridae",0.411290322580645,6,22,34.4,5.6,13,17,30,0,0,0.08,0.78,0.94,0,0,0.31,0,"Thalassoma pavo_med",0.226
"Thalassoma rueppellii","red","0","Natives - Red Sea","Labridae",0.016260162601626,1,2,0.199999999999999,10.5,4,22,26,1,0,0,0,0,0,0,1,0,"Thalassoma rueppellii_red",0.373
"Thamnaconus erythraeensis","red","0","Natives - Red Sea","Monacanthidae",0.292682926829268,3,22,61,83,3,20,23,0.53,0.06,0,0,0.31,0,0.31,0.56,0,"Thamnaconus erythraeensis_red",0.837
"Torquigener flavimaculosus","med","1","Lessepsians - Med. Sea","Tetraodontidae",0.532258064516129,14,20,31.4,8.6,9,17,26,0,0,0.27,0.91,0.74,0.02,0,0.35,0,"Torquigener flavimaculosus_med",0.338
"Trachurus mediterraneus","med","0","Natives - Med. Sea","Carangidae",0.137096774193548,10,4,68.3,68.7,6,16,22,0,0,0,0,0.12,0,0.18,0.82,0.59,"Trachurus mediterraneus_med",0.82
"Trichiurus lepturus","med","0","Natives - Med. Sea","Trichiuridae",0.0161290322580645,1,2,9.10000000000001,123.3,1,17,18,0,0,0,0,0,0,1,0,0,"Trichiurus lepturus_med",0.661
"Turrum fulvoguttatum","red","0","Natives - Red Sea","Carangidae",0.130081300813008,8,8,106.6,16.4,5,21,26,0,0,0,0.06,0.56,0.12,0,1,0,"Turrum fulvoguttatum_red",0.862
"Upeneus moluccensis","med","1","Lessepsians - Med. Sea","Mullidae",0.362903225806452,17,15,92.7,48.3,6,15,21,0,0,0,0,0.09,0,0.42,0.58,0,"Upeneus moluccensis_med",0.802
"Upeneus pori","red","1","Lessepsians - Red Sea","Mullidae",0.121951219512195,3,8,53.5,27.9,4,21,25,0,0,0,0.2,0.07,0.13,0,1,0,"Upeneus pori_red",0.463
"Variola louti","red","0","Natives - Red Sea","Serranidae",0.398373983739837,3,37,119.9,8.1,8,20,28,0.9,0.04,0.06,0,0.06,0.06,0.12,0.51,0,"Variola louti_red",0.52
"Xyrichtys novacula","med","0","Natives - Med. Sea","Labridae",0.25,13,6,21.5,9.6,10,18,28,0,0,0.26,0.26,0.42,0,0,1,0,"Xyrichtys novacula_med",0.451
"Zebrasoma xanthurum","red","0","Natives - Red Sea","Acanthuridae",0.0731707317073171,3,5,24.7,8.1,2,22,24,1,0.33,0.11,0,0.22,0.11,0,0.33,0,"Zebrasoma xanthurum_red",0.214
