"PCoA1","PCoA2","species","group","plot_label","sea","status"
0.109832699288896,-0.109130627327839,"Epinephelus marginatus","Natives - Med. Sea","Epinephelus marginatus (Med)","med",0
0.159315393513584,-0.0196445772972585,"Fistularia commersonii","Lessepsians - Med. Sea","Fistularia commersonii (Med)","med",1
0.00781289907347344,0.127820336368443,"Fistularia commersonii","Lessepsians - Red Sea","Fistularia commersonii (RS)","red",1
-0.0579478453787994,0.0190412269589501,"Genicanthus caudovittatus","Natives - Red Sea","Genicanthus caudovittatus (RS)","red",0
0.00284452772622339,0.0579933328296639,"Gnathanodon speciosus","Natives - Red Sea","Gnathanodon speciosus (RS)","red",0
0.170026969925864,-0.0795527347741021,"Gobius bucchichi","Natives - Med. Sea","Gobius bucchichi (Med)","med",0
0.028813146453359,0.162640822614819,"Gymnocranius grandoculis","Natives - Red Sea","Gymnocranius grandoculis (RS)","red",0
0.035326541131992,0.0929122258489359,"Gymnothorax angusticauda","Natives - Red Sea","Gymnothorax angusticauda (RS)","red",0
-0.0580596996046417,0.029613478326881,"Gymnothorax elegans","Natives - Red Sea","Gymnothorax elegans (RS)","red",0
0.0040069107495665,0.105422589433133,"Gymnothorax griseus","Natives - Red Sea","Gymnothorax griseus (RS)","red",0
-0.0205083869744347,0.0921110682521812,"Gymnothorax johnsoni","Natives - Red Sea","Gymnothorax johnsoni (RS)","red",0
-0.0450488444707868,0.0719087452365712,"Gymnothorax nudivomer","Natives - Red Sea","Gymnothorax nudivomer (RS)","red",0
-0.111980213398045,-0.0955717915344332,"Gymnothorax undulatus","Natives - Red Sea","Gymnothorax undulatus (RS)","red",0
-0.0422346477687574,0.0586911743540196,"Heniochus diphreutes","Natives - Red Sea","Heniochus diphreutes (RS)","red",0
-0.0731533601308878,-0.0306812968879406,"Heniochus intermedius","Lessepsians - Red Sea","Heniochus intermedius (RS)","red",1
0.176504815934672,-0.0911277812101602,"Himantura uarnak","Lessepsians - Med. Sea","Himantura uarnak (Med)","med",1
-0.0472146050917916,0.0883087710289041,"Himantura uarnak","Lessepsians - Red Sea","Himantura uarnak (RS)","red",1
