"Axis.1","Axis.2","trait"
0.0468647661923626,0.0132960016471255,"Max. MaxN"
0.0793097671722541,0.0972021305170439,"Commonness"
0.0193137316949243,-0.0348312222833263,"Max. body size"
0.0686437863834735,0.128312976912854,"Depth range"
-0.0619702306716222,-0.103757143320948,"Min. depth"
-0.12190810799975,0.0356922571716206,"Min. SBT"
0.161572445900462,0.081490530681214,"SBT range"
0.0842263414315588,0.123013043512661,"Max. SBT"
-0.0139538246478892,0.0830280590996703,"Artificial"
-0.12492118595683,0.121772082796334,"Corals"
-0.0163984261735298,0.0265356278333642,"Seagrass"
-0.0106318811886931,-0.0539163439927822,"Silt"
0.0371904269083367,-0.00621635230768957,"Gravel"
0.0117442324305556,0.0246109786019874,"Sand"
0.131347506432787,-0.0808064670938407,"Rocks"
0.089912681563516,0.12395230469428,"Habitat variety"
0.130799572231076,-0.0763013558726441,"Algae"
