"(Intercept)","scale(artificial)","scale(B_prime_std)","scale(corals)","scale(depth_range)","scale(gravel)","scale(macroalgae)","scale(mean_MaxN)","scale(min_depth)","scale(n_presence)","scale(rocks)","scale(sand)","scale(sbt_max)","scale(sbt_min)","scale(sbt_range)","scale(seagrass)","scale(silt)","df","logLik","AICc","delta","weight"
-2.85958167506996,NA,NA,-1.52847800088813,NA,NA,NA,NA,-0.784531566724406,NA,NA,NA,NA,NA,NA,NA,NA,4,-39.9302196826199,88.1910178776365,0,0.00268724174872326
-2.8261734776809,NA,NA,-1.52900827793309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-41.0010458113479,88.1988129341712,0.00779505653466117,0.00267678853213269
-3.17679180643197,NA,NA,-1.72029409814555,NA,NA,NA,0.480436901732172,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-39.9808689466454,88.2923164056876,0.101298528051032,0.00255452432284873
-2.86474262513379,NA,NA,-1.28197189301201,NA,NA,0.399830202797138,NA,-1.1031134262503,NA,NA,NA,NA,NA,NA,NA,NA,5,-38.9378908098436,88.3757816196872,0.184763742050635,0.00245011123192769
-2.80066788368807,NA,NA,-1.40217320226736,0.43374708007844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-40.1499165365951,88.6304115855868,0.439393707950288,0.00215721587032445
-2.83240110786644,NA,NA,-1.40567888570977,0.401930801400917,NA,NA,NA,-0.745846856508743,NA,NA,NA,NA,NA,NA,NA,NA,5,-39.2046129752864,88.9092259505728,0.718208072936292,0.00187650547803147
-3.03938154397601,NA,NA,-1.63031253937749,NA,NA,NA,0.377703724530195,-0.669072761563815,NA,NA,NA,NA,NA,NA,NA,NA,5,-39.2429615104915,88.9859230209829,0.794905143346412,0.00180590657563485
-2.77063874640857,NA,NA,-1.24378893548347,0.589083966801404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748769207180176,5,-39.2435451079949,88.9870902159898,0.796072338353284,0.00180485296053935
-2.84830325961221,NA,NA,-1.47073070518738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363257684659276,NA,NA,4,-40.4141776517189,89.1589338158345,0.96791593819799,0.00165625217877643
-2.89315199693308,NA,NA,-1.53688951151848,NA,NA,NA,NA,NA,0.2903759710794,NA,NA,NA,NA,NA,NA,NA,4,-40.4280032630284,89.1865850384536,0.995567160817032,0.00163351104718661
-2.74378242225007,NA,NA,-1.32393424389788,NA,NA,0.283770052901558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-40.468868128847,89.2683147700908,1.07729689245427,0.00156810337723033
-2.90202067666467,NA,NA,-1.5307047100504,NA,NA,NA,NA,-0.731822080122317,0.258726197026607,NA,NA,NA,NA,NA,NA,NA,5,-39.4636757404705,89.4273514809411,1.23633360330457,0.00144823922895773
-2.81810564708868,NA,NA,-1.48895792735635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-40.5597497586496,89.4500780296959,1.25906015205935,0.0014318756373032
-2.98751202459132,NA,NA,-1.51549642404582,0.36045676031775,NA,NA,0.381434283137031,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-39.4939860414448,89.4879720828896,1.2969542052531,0.00140500125034648
-2.87165637560526,NA,0.311535603135335,-1.42946412986789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-40.6179594089216,89.5664973302399,1.37547945260336,0.00135090612235077
